name,category,address,phone,website,website_status,latitude,longitude,place_id,source
MAC Studio Unisex Salon,commercial.health_and_beauty,"MAC Studio Unisex Salon, NH62, Basni, Jodhpur - 342005, Rajasthan, India",,,none,26.2343226,73.0167097,51aac18fc51141524059b4b6df90fc3b3a40f00103f90176c9a3a3020000009203174d41432053747564696f20556e697365782053616c6f6e,Geoapify
Desi Bhoj,catering.restaurant,"Desi Bhoj, NH62, Basni, Jodhpur - 342005, Rajasthan, India",,,none,26.2304141,73.0356171,516aebf18c47425240598b09206bfc3a3a40f00103f901165dd68802000000920309446573692042686f6a,Geoapify
Mandap Garden and Restaurant,catering.restaurant,"Mandap Garden and Restaurant, NH62, Basni, Jodhpur - 342005, Rajasthan, India",,,none,26.2300193,73.035753,51f86ef3c64942524059e5f27a8be23a3a40f00103f9015178e2880200000092031c4d616e6461702047617264656e20616e642052657374617572616e74,Geoapify
Subhdhra,catering.restaurant,"Subhdhra, Jodhpur Bypass, Basni, Jodhpur - 342001, Rajasthan, India",,,none,26.2139375,73.0284755,512f4fe78ad24152405954e3a59bc4363a40f00103f901e7c0192e010000009203085375626864687261,Geoapify
Veevah Marriage Palace,catering.restaurant,"Veevah Marriage Palace, Residency Road, Jodhpur - 342011, Rajasthan, India",,,none,26.2656693,73.0346119,51fe09e20f3742524059718863a803443a40f00102f9011f12d30600000000920316566565766168204d617272696167652050616c616365,Geoapify
Krishna Softee & Softee,catering.restaurant,"Krishna Softee & Softee, Shastri Circle, Jodhpur - 112001, Rajasthan, India",,,none,26.2621259,73.0038552,51da7ae1293f4052405940efd7ae1a433a40f00103f9011d95a083000000009203174b726973686e6120536f66746565202620536f66746565,Geoapify
auntie's pizza,catering.restaurant,"auntie's pizza, Shastri Circle, Jodhpur - 112001, Rajasthan, India",,,none,26.2631606,73.0038861,512d1a7cab3f4052405982983a7e5e433a40f00103f9019bd139510100000092030e61756e74696527732070697a7a61,Geoapify
Rigveda',catering.cafe,"Rigveda', NH62, RAI KA BAGH, Jodhpur - 112001, Rajasthan, India",,,none,26.2709842,73.0201858,51fdb561b94a4152405994bb74385f453a40f00103f901326bd688020000009203085269677665646127,Geoapify
Brown Sugar,catering.cafe,"Brown Sugar, NH62, RAI KA BAGH, Jodhpur - 112001, Rajasthan, India",,,none,26.2710068,73.0202716,5168c240214c415240595dfe9eb360453a40f00103f901a85cd6880200000092030b42726f776e205375676172,Geoapify
